tanggal,komoditas,harga_sebenarnya,prediksi_random_forest,prediksi_xgboost,prediksi_lightgbm,error_random_forest,error_xgboost,error_lightgbm,batas_harga_HET,status_stabilitas,harga_kemarin,harga_3_hari_lalu,harga_7_hari_lalu,harga_14_hari_lalu,rata_rata_7_hari,rata_rata_14_hari,fluktuasi_7_hari,bulan,hari_dalam_minggu
2026-05-30,Semangka,13525,13988.892014482206,14002.22,14099.78973905144,463.8920144822059,477.2197265625,574.7897390514408,14851.561029411767,Aman,13767.0,14875.0,13733.0,13967.0,14076.285714285714,13948.214285714286,487.24898299390355,5,5
2026-01-15,Susu Bubuk Bendera 400gr,45333,44190.59410655371,43976.945,44243.121399296564,1142.4058934462882,1356.0546875,1089.878600703436,48663.31016949153,Aman,45333.0,45333.0,45000.0,45000.0,44547.42857142857,44833.21428571428,2010.7962649278081,1,3
2026-01-16,Susu Bubuk Bendera 400gr,45000,44107.640387825006,43976.945,44243.121399296564,892.3596121749943,1023.0546875,756.878600703436,48663.31016949153,Aman,45333.0,45333.0,45500.0,45500.0,44476.0,44797.5,1979.9631309698684,1,4
2026-01-17,Susu Bubuk Bendera 400gr,45000,44107.81280161811,43976.945,44652.472547455654,892.1871983818928,1023.0546875,347.5274525443456,48663.31016949153,Aman,45000.0,45333.0,45000.0,45000.0,44476.0,44797.5,1979.9631309698684,1,5
2026-01-18,Susu Bubuk Bendera 400gr,45000,45081.10904942485,45070.418,45119.546212866095,81.10904942484922,70.41796875,119.54621286609472,48663.31016949153,Aman,45000.0,45333.0,40000.0,45000.0,45190.28571428572,44797.5,177.99598711365468,1,6
2026-01-19,Susu Bubuk Bendera 400gr,45333,45175.09697994461,45070.418,45119.546212866095,157.9030200553898,262.58203125,213.45378713390528,48663.31016949153,Aman,45000.0,45000.0,45333.0,45000.0,45190.28571428572,44821.28571428572,177.99598711365468,1,0
2026-01-20,Susu Bubuk Bendera 400gr,45333,45163.10377945876,45070.418,44710.195064707004,169.89622054123902,262.58203125,622.8049352929957,48663.31016949153,Aman,45333.0,45000.0,45333.0,45000.0,45190.28571428572,44845.07142857143,177.99598711365468,1,1
2026-01-21,Susu Bubuk Bendera 400gr,45333,45155.78377154449,45070.418,44710.195064707004,177.21622845550883,262.58203125,622.8049352929957,48663.31016949153,Aman,45333.0,45000.0,45333.0,45333.0,45190.28571428572,44845.07142857143,177.99598711365468,1,2
2026-01-22,Susu Bubuk Bendera 400gr,45000,45254.28680914196,45070.418,44710.195064707004,254.28680914195866,70.41796875,289.80493529299565,48663.31016949153,Aman,45333.0,45333.0,45333.0,45000.0,45142.71428571428,44845.07142857143,177.99598711365468,1,3
2026-01-23,Susu Bubuk Bendera 400gr,34000,42494.38024459788,42441.457,42965.227550573356,8494.38024459788,8441.45703125,8965.227550573356,48663.31016949153,Aman,45000.0,45333.0,45000.0,45500.0,43571.28571428572,44023.642857142855,4223.823217350434,1,4
2026-01-24,Susu Bubuk Bendera 400gr,45000,44623.90620914014,44224.152,44801.073953254294,376.0937908598571,775.84765625,198.92604674570612,48663.31016949153,Aman,34000.0,45333.0,45000.0,45000.0,43571.28571428572,44023.642857142855,4223.823217350434,1,5
2026-01-25,Susu Bubuk Bendera 400gr,45000,42920.10314238375,42554.125,42990.891461915024,2079.8968576162515,2445.875,2009.1085380849763,48663.31016949153,Aman,45000.0,45000.0,45000.0,40000.0,43571.28571428572,44380.78571428572,4223.823217350434,1,6
2026-01-26,Susu Bubuk Bendera 400gr,45000,44550.599770946355,45028.953,45117.687587597546,449.4002290536446,28.953125,117.68758759754564,48663.31016949153,Aman,45000.0,34000.0,45333.0,45333.0,43523.71428571428,44357.0,4202.49611200636,1,0
2026-01-27,Susu Bubuk Bendera 400gr,45333,42651.64065669414,42554.125,42990.891461915024,2681.359343305863,2778.875,2342.1085380849763,48663.31016949153,Aman,45000.0,45000.0,45333.0,45333.0,43523.71428571428,44357.0,4202.49611200636,1,1
2026-01-28,Susu Bubuk Bendera 400gr,45000,42273.35849051687,42554.125,42149.69152524275,2726.641509483132,2445.875,2850.30847475725,48663.31016949153,Aman,45333.0,45000.0,45333.0,45333.0,43476.142857142855,44333.21428571428,4180.428703238119,1,2
2026-01-29,Susu Bubuk Bendera 400gr,45333,42693.15018694181,42554.125,42990.891461915024,2639.8498130581866,2778.875,2342.1085380849763,48663.31016949153,Aman,45000.0,45000.0,45000.0,45333.0,43523.71428571428,44333.21428571428,4202.49611200636,1,3
2026-01-30,Susu Bubuk Bendera 400gr,45000,45680.98483703918,45070.418,44710.195064707004,680.9848370391774,70.41796875,289.80493529299565,48663.31016949153,Aman,45333.0,45333.0,34000.0,45000.0,45095.142857142855,44333.21428571428,162.4873621458703,1,4
2026-01-31,Susu Bubuk Bendera 400gr,45000,45620.346579927114,45070.418,45119.546212866095,620.3465799271144,70.41796875,119.54621286609472,48663.31016949153,Aman,45000.0,45000.0,45000.0,45000.0,45095.142857142855,44333.21428571428,162.4873621458703,1,5
2026-02-01,Susu Bubuk Bendera 400gr,45000,44470.18425865186,45070.418,45119.546212866095,529.8157413481385,70.41796875,119.54621286609472,48663.31016949153,Aman,45000.0,45333.0,45000.0,45000.0,45095.142857142855,44333.21428571428,162.4873621458703,2,6
2026-02-02,Susu Bubuk Bendera 400gr,45000,44819.3689937207,45070.418,45119.546212866095,180.63100627929816,70.41796875,119.54621286609472,48663.31016949153,Aman,45000.0,45000.0,45000.0,45333.0,45095.142857142855,44309.42857142857,162.4873621458703,2,0
2026-02-03,Susu Bubuk Bendera 400gr,45333,44801.662118021166,45070.418,45119.546212866095,531.337881978834,262.58203125,213.45378713390528,48663.31016949153,Aman,45000.0,45000.0,45333.0,45333.0,45095.142857142855,44309.42857142857,162.4873621458703,2,1
2026-02-04,Susu Bubuk Bendera 400gr,45000,44794.34211010691,44957.75,44684.53115336534,205.6578898930893,42.25,315.46884663466335,48663.31016949153,Aman,45333.0,45000.0,45000.0,45333.0,45095.142857142855,44285.642857142855,162.4873621458703,2,2
2026-02-05,Susu Bubuk Bendera 400gr,45000,44698.273242798496,44957.75,45093.88230152443,301.72675720150437,42.25,93.88230152442702,48663.31016949153,Aman,45000.0,45000.0,45333.0,45000.0,45047.57142857143,44285.642857142855,125.86216951199712,2,3
